unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
149,Hyundai,2019,white,suv,23164,1st,5,petrol,6-Speed,Automatic,12518
150,Maruti Suzuki,2019,blue,sedan,28618,1st,5,petrol,5-Speed,Manual,10301
151,Honda,2017,red,suv,88695,1st,5,petrol,5-Speed,Manual,9012
152,Maruti Suzuki,2018,blue,sedan,7858,1st,5,petrol,5-Speed,Manual,8891
153,Hyundai,2016,red,crossover,88827,1st,5,petrol,5-Speed,Manual,7771
154,Tata,2017,silver,sedan,7697,1st,5,petrol,5-Speed,Manual,6180
155,MG Motors,2020,black,suv,31271,1st,5,petrol,6-Speed,Automatic,23378
156,Hyundai,2018,red,hatchback,17121,1st,5,petrol,5-Speed,Manual,8156
157,Hyundai,2017,white,sedan,60287,1st,5,petrol,4-Speed,Automatic,10084
158,MG Motors,2020,red,suv,8265,1st,5,petrol,6-Speed,Automatic,24200
159,Jeep,2017,red,suv,43091,2nd,5,diesel,6-Speed,Automatic,17096
160,Jeep,2017,blue,suv,44503,1st,5,diesel,6-Speed,Automatic,20661
161,Hyundai,2020,blue,hatchback,17056,1st,5,petrol,5-Speed,Manual,6301
162,Maruti Suzuki,2018,blue,suv,61922,1st,5,diesel,5-Speed,Manual,10214
163,Hyundai,2017,silver,crossover,60629,1st,5,petrol,5-Speed,Manual,8734
164,Hyundai,2017,black,crossover,32602,1st,5,petrol,5-Speed,Manual,8566
165,Ford,2020,silver,suv,26116,1st,5,petrol,5-Speed,Manual,11734
166,Hyundai,2016,brown,crossover,90058,1st,5,petrol,5-Speed,Manual,7325
167,Hyundai,2012,grey,hatchback,63676,1st,5,petrol,5-Speed,Manual,3289
168,Hyundai,2011,grey,hatchback,43918,2nd,5,petrol,4-Speed,Automatic,3662
169,Maruti Suzuki,2020,silver,hatchback,6301,1st,5,petrol,5-Speed,Manual,3914
170,Renault,2017,grey,hatchback,29907,1st,5,petrol,5-Speed,Manual,4397
171,Hyundai,2016,white,hatchback,41218,1st,5,diesel,6-Speed,Automatic,7421
172,Maruti Suzuki,2015,brown,muv,5475,1st,7,petrol,5-Speed,Manual,7481
173,Hyundai,2022,blue,hatchback,4305,1st,5,petrol,5-Speed,Manual,9024
174,Ford,2017,bronze,suv,43112,1st,5,diesel,5-Speed,Manual,7457
175,Volkswagen,2015,grey,hatchback,53807,1st,5,diesel,5-Speed,Manual,6590
176,Hyundai,2015,silver,hatchback,37837,1st,5,petrol,5-Speed,Manual,6975
177,Renault,2019,white,muv,11074,1st,7,petrol,5-Speed,Manual,8265
178,Maruti Suzuki,2017,blue,hatchback,15748,1st,5,petrol,5-Speed,Manual,7362
179,Maruti Suzuki,2015,red,hatchback,14593,1st,5,petrol,5-Speed,Manual,4337
180,Maruti Suzuki,2015,white,sedan,30228,1st,5,petrol,4-Speed,Automatic,6636
181,MG Motors,2020,black,suv,44897,1st,6,petrol,6-Speed,Automatic,21787
182,Maruti Suzuki,2013,grey,hatchback,55995,1st,5,petrol,5-Speed,Manual,3708
183,Tata,2021,grey,hatchback,9936,1st,5,petrol,5-Speed,Manual,8566
184,Hyundai,2017,red,hatchback,18790,1st,5,petrol,5-Speed,Manual,4337
185,Maruti Suzuki,2015,red,hatchback,64323,1st,5,petrol,5-Speed,Manual,2992
186,Hyundai,2013,red,hatchback,32849,1st,5,petrol,5-Speed,Manual,4240
187,Maruti Suzuki,2020,red,hatchback,22777,1st,5,petrol,5-Speed,Manual,3936
188,Hyundai,2013,white,hatchback,37652,1st,5,petrol,5-Speed,Manual,4012
189,Hyundai,2016,red,hatchback,93446,1st,5,diesel,6-Speed,Automatic,7096
190,Renault,2022,blue,suv,11031,1st,5,petrol,5-Speed,Manual,8855
191,Maruti Suzuki,2021,white,hatchback,9752,1st,5,petrol,5-Speed,Manual,8566
192,Maruti Suzuki,2019,red,suv,15418,1st,5,diesel,5-Speed,Manual,12112
193,Maruti Suzuki,2020,grey,hatchback,8249,1st,5,petrol,5-Speed,Manual,7156
194,Hyundai,2021,blue,hatchback,10514,1st,5,petrol,5-Speed,Manual,8168
195,Honda,2019,silver,sedan,24136,2nd,5,petrol,5-Speed,Manual,10325
196,Renault,2019,blue,hatchback,18638,1st,5,petrol,5-Speed,Manual,5819
197,Hyundai,2013,red,hatchback,93653,2nd,5,petrol,5-Speed,Manual,2987
198,Jeep,2017,black,suv,60049,1st,5,diesel,6-Speed,Automatic,19879
199,Maruti Suzuki,2019,brown,sedan,31330,2nd,5,petrol,5-Speed,Manual,8230
200,Hyundai,2012,red,hatchback,49014,2nd,5,petrol,5-Speed,Manual,4048
201,Maruti Suzuki,2015,silver,sedan,56221,1st,5,petrol,5-Speed,Manual,7340
